,VX3-VX1
2018-09-11 00:09:00,1446.85168
2018-09-11 00:10:00,1451.73168
2018-09-11 00:11:00,1451.73168
2018-09-11 00:12:00,1451.73168
2018-09-11 00:13:00,1451.73168
2018-09-11 00:14:00,1451.73168
2018-09-11 00:15:00,1451.73168
2018-09-11 00:16:00,1451.73168
2018-09-11 00:17:00,1451.73168
2018-09-11 00:18:00,1451.73168
2018-09-11 00:19:00,1451.73168
2018-09-11 00:20:00,1446.85168
2018-09-11 00:21:00,1446.85168
2018-09-11 00:22:00,1446.85168
2018-09-11 00:23:00,1446.85168
2018-09-11 00:24:00,1446.85168
2018-09-11 00:25:00,1446.85168
2018-09-11 00:26:00,1446.85168
2018-09-11 00:27:00,1446.85168
2018-09-11 00:28:00,1446.85168
2018-09-11 00:29:00,1451.73168
2018-09-11 00:30:00,1451.73168
2018-09-11 00:31:00,1451.73168
2018-09-11 00:32:00,1451.73168
2018-09-11 00:33:00,1451.73168
2018-09-11 00:34:00,1451.73168
2018-09-11 00:35:00,1451.73168
