,GBX
2018-07-26 06:31:00,38387.9484246
2018-07-26 06:32:00,38378.6272646
2018-07-26 06:33:00,38380.9575546
2018-07-26 06:34:00,38376.2969746
2018-07-26 06:35:00,38380.9575546
2018-07-26 06:36:00,38378.6272646
2018-07-26 06:37:00,38378.6272646
2018-07-26 06:38:00,38383.2878446
2018-07-26 06:39:00,38383.2878446
2018-07-26 06:40:00,38373.9666846
2018-07-26 06:41:00,38378.6272646
2018-07-26 06:42:00,38383.2878446
2018-07-26 06:43:00,38383.2878446
2018-07-26 06:44:00,38383.2878446
2018-07-26 06:45:00,38373.9666846
2018-07-26 06:46:00,38369.3061046
2018-07-26 06:47:00,38364.6455246
2018-07-26 06:48:00,38378.6272646
2018-07-26 06:49:00,38369.3061046
2018-07-26 06:50:00,38373.9666846
2018-07-26 06:51:00,38373.9666846
2018-07-26 06:52:00,38373.9666846
2018-07-26 06:53:00,38385.6181346
2018-07-26 06:54:00,38387.9484246
2018-07-26 06:55:00,38387.9484246
2018-07-26 06:56:00,38383.2878446
2018-07-26 06:57:00,38397.2695846
2018-07-26 06:58:00,38397.2695846
2018-07-26 06:59:00,38394.9392946
2018-07-26 07:00:00,38392.6090046
2018-07-26 07:01:00,38392.6090046
2018-07-26 07:02:00,38397.2695846
2018-07-26 07:03:00,38397.2695846
2018-07-26 07:04:00,38401.9301646
2018-07-26 07:05:00,38378.6272646
2018-07-26 07:06:00,38369.3061046
2018-07-26 07:07:00,38376.2969746
2018-07-26 07:08:00,38378.6272646
2018-07-26 07:09:00,38385.6181346
2018-07-26 07:10:00,38383.2878446
2018-07-26 07:11:00,38385.6181346
2018-07-26 07:12:00,38387.9484246
2018-07-26 07:13:00,38373.9666846
2018-07-26 07:14:00,38373.9666846
2018-07-26 07:15:00,38376.2969746
2018-07-26 07:16:00,38380.9575546
2018-07-26 07:17:00,38378.6272646
2018-07-26 07:18:00,38373.9666846
2018-07-26 07:19:00,38378.6272646
2018-07-26 07:20:00,38383.2878446
2018-07-26 07:21:00,38392.6090046
2018-07-26 07:22:00,38397.2695846
2018-07-26 07:23:00,38397.2695846
2018-07-26 07:24:00,38399.5998746
2018-07-26 07:25:00,38411.2513246
2018-07-26 07:26:00,38411.2513246
2018-07-26 07:27:00,38411.2513246
2018-07-26 07:28:00,38411.2513246
2018-07-26 07:29:00,38408.9210346
2018-07-26 07:30:00,38406.5907446
2018-07-26 07:31:00,38373.9666846
2018-07-26 07:32:00,38376.2969746
2018-07-26 07:33:00,38376.2969746
2018-07-26 07:34:00,38369.3061046
2018-07-26 07:35:00,38371.6363946
2018-07-26 07:36:00,38346.0032046
2018-07-26 07:37:00,38350.6637846
2018-07-26 07:38:00,38350.6637846
2018-07-26 07:39:00,38346.0032046
2018-07-26 07:40:00,38339.0123346
2018-07-26 07:41:00,38350.6637846
2018-07-26 07:42:00,38336.6820446
2018-07-26 07:43:00,38346.0032046
2018-07-26 07:44:00,38350.6637846
2018-07-26 07:45:00,38346.0032046
2018-07-26 07:46:00,38350.6637846
2018-07-26 07:47:00,38355.3243646
2018-07-26 07:48:00,38383.2878446
2018-07-26 07:49:00,38383.2878446
2018-07-26 07:50:00,38383.2878446
2018-07-26 07:51:00,38383.2878446
2018-07-26 07:52:00,38383.2878446
2018-07-26 07:53:00,38394.9392946
2018-07-26 07:54:00,38415.9119046
2018-07-26 07:55:00,38425.2330646
2018-07-26 07:56:00,38422.9027746
2018-07-26 07:57:00,38425.2330646
