,OMX
2018-08-07 04:46:00,13248.9336393
2018-08-07 04:47:00,13254.2230243
2018-08-07 04:48:00,13254.2230243
2018-08-07 04:49:00,13254.2230243
2018-08-07 04:50:00,13259.5124093
2018-08-07 04:51:00,13259.5124093
2018-08-07 04:52:00,13264.8017943
2018-08-07 04:53:00,13264.8017943
2018-08-07 04:54:00,13259.5124093
2018-08-07 04:55:00,13270.0911793
2018-08-07 04:56:00,13275.3805643
2018-08-07 04:57:00,13270.0911793
2018-08-07 04:58:00,13270.0911793
2018-08-07 04:59:00,13275.3805643
2018-08-07 05:00:00,13275.3805643
2018-08-07 05:01:00,13275.3805643
2018-08-07 05:02:00,13285.9593343
2018-08-07 05:03:00,13285.9593343
2018-08-07 05:04:00,13285.9593343
2018-08-07 05:05:00,13283.3146418
2018-08-07 05:06:00,13285.9593343
2018-08-07 05:07:00,13280.6699493
2018-08-07 05:08:00,13280.6699493
2018-08-07 05:09:00,13267.4464868
2018-08-07 05:10:00,13254.2230243
2018-08-07 05:11:00,13262.1571018
2018-08-07 05:12:00,13259.5124093
2018-08-07 05:13:00,13254.2230243
2018-08-07 05:14:00,13254.2230243
2018-08-07 05:15:00,13248.9336393
2018-08-07 05:16:00,13238.3548693
2018-08-07 05:17:00,13238.3548693
2018-08-07 05:18:00,13238.3548693
2018-08-07 05:19:00,13240.9995618
2018-08-07 05:20:00,13235.7101768
2018-08-07 05:21:00,13235.7101768
2018-08-07 05:22:00,13233.0654843
2018-08-07 05:23:00,13238.3548693
2018-08-07 05:24:00,13243.6442543
2018-08-07 05:25:00,13238.3548693
2018-08-07 05:26:00,13248.9336393
2018-08-07 05:27:00,13248.9336393
