,MX
2018-07-30 05:42:00,26026.8284631
2018-07-30 05:43:00,26024.0002091
2018-07-30 05:44:00,26028.2425901
2018-07-30 05:45:00,26029.6567171
2018-07-30 05:46:00,26028.2425901
2018-07-30 05:47:00,26026.8284631
2018-07-30 05:48:00,26029.6567171
2018-07-30 05:49:00,26033.8990981
2018-07-30 05:50:00,26043.7979871
2018-07-30 05:51:00,26040.9697331
2018-07-30 05:52:00,26040.9697331
2018-07-30 05:53:00,26043.7979871
2018-07-30 05:54:00,26042.3838601
2018-07-30 05:55:00,26038.1414791
2018-07-30 05:56:00,26035.3132251
2018-07-30 05:57:00,26043.7979871
2018-07-30 05:58:00,26046.6262411
2018-07-30 05:59:00,26049.4544951
2018-07-30 06:00:00,26049.4544951
2018-07-30 06:01:00,26050.8686221
2018-07-30 06:02:00,26056.5251301
2018-07-30 06:03:00,26060.7675111
