,OAT
2018-02-28 02:02:00,33586.9700018
2018-02-28 02:03:00,33562.0549178
2018-02-28 02:04:00,33562.0549178
2018-02-28 02:05:00,33553.7498898
2018-02-28 02:06:00,33557.9024038
2018-02-28 02:07:00,33586.9700018
2018-02-28 02:08:00,33595.2750298
2018-02-28 02:09:00,33595.2750298
2018-02-28 02:10:00,33595.2750298
2018-02-28 02:11:00,33603.5800578
2018-02-28 02:12:00,33620.1901138
2018-02-28 02:13:00,33636.8001698
2018-02-28 02:14:00,33645.1051978
2018-02-28 02:15:00,33678.3253098
2018-02-28 02:16:00,33699.0878798
2018-02-28 02:17:00,33711.5454218
2018-02-28 02:18:00,33715.6979358
2018-02-28 02:19:00,33711.5454218
2018-02-28 02:20:00,33719.8504498
2018-02-28 02:21:00,33719.8504498
2018-02-28 02:22:00,33719.8504498
2018-02-28 02:23:00,33711.5454218
2018-02-28 02:24:00,33711.5454218
2018-02-28 02:25:00,33744.7655338
2018-02-28 02:26:00,33744.7655338
2018-02-28 02:27:00,33753.0705618
2018-02-28 02:28:00,33753.0705618
2018-02-28 02:29:00,33744.7655338
2018-02-28 02:30:00,33753.0705618
2018-02-28 02:31:00,33744.7655338
2018-02-28 02:32:00,33736.4605058
2018-02-28 02:33:00,33753.0705618
2018-02-28 02:34:00,33753.0705618
2018-02-28 02:35:00,33753.0705618
2018-02-28 02:36:00,33753.0705618
2018-02-28 02:37:00,33744.7655338
2018-02-28 02:38:00,33736.4605058
2018-02-28 02:39:00,33724.0029638
2018-02-28 02:40:00,33736.4605058
2018-02-28 02:41:00,33728.1554778
2018-02-28 02:42:00,33736.4605058
2018-02-28 02:43:00,33736.4605058
2018-02-28 02:44:00,33736.4605058
2018-02-28 02:45:00,33719.8504498
2018-02-28 02:46:00,33728.1554778
2018-02-28 02:47:00,33703.2403938
2018-02-28 02:48:00,33703.2403938
2018-02-28 02:49:00,33686.6303378
2018-02-28 02:50:00,33703.2403938
2018-02-28 02:51:00,33703.2403938
2018-02-28 02:52:00,33694.9353658
2018-02-28 02:53:00,33703.2403938
2018-02-28 02:54:00,33686.6303378
2018-02-28 02:55:00,33678.3253098
2018-02-28 02:56:00,33686.6303378
2018-02-28 02:57:00,33686.6303378
2018-02-28 02:58:00,33682.4778238
2018-02-28 02:59:00,33703.2403938
2018-02-28 03:00:00,33719.8504498
2018-02-28 03:01:00,33719.8504498
2018-02-28 03:02:00,33728.1554778
2018-02-28 03:03:00,33728.1554778
2018-02-28 03:04:00,33736.4605058
2018-02-28 03:05:00,33744.7655338
2018-02-28 03:06:00,33719.8504498
2018-02-28 03:07:00,33736.4605058
2018-02-28 03:08:00,33736.4605058
2018-02-28 03:09:00,33748.9180478
2018-02-28 03:10:00,33744.7655338
2018-02-28 03:11:00,33753.0705618
2018-02-28 03:12:00,33769.6806178
2018-02-28 03:13:00,33757.2230758
2018-02-28 03:14:00,33744.7655338
2018-02-28 03:15:00,33761.3755898
2018-02-28 03:16:00,33761.3755898
2018-02-28 03:17:00,33765.5281038
2018-02-28 03:18:00,33765.5281038
2018-02-28 03:19:00,33761.3755898
2018-02-28 03:20:00,33769.6806178
2018-02-28 03:21:00,33769.6806178
