,ESX
2018-05-09 11:14:00,22266.7077603
2018-05-09 11:15:00,22266.7077603
2018-05-09 11:16:00,22257.1614983
2018-05-09 11:17:00,22257.1614983
2018-05-09 11:18:00,22257.1614983
2018-05-09 11:19:00,22257.1614983
2018-05-09 11:20:00,22257.1614983
2018-05-09 11:21:00,22266.7077603
2018-05-09 11:22:00,22295.3465463
2018-05-09 11:23:00,22295.3465463
2018-05-09 11:24:00,22276.2540223
2018-05-09 11:25:00,22285.8002843
2018-05-09 11:26:00,22285.8002843
2018-05-09 11:27:00,22285.8002843
2018-05-09 11:28:00,22285.8002843
2018-05-09 11:29:00,22285.8002843
2018-05-09 11:30:00,22285.8002843
2018-05-09 11:31:00,22285.8002843
2018-05-09 11:32:00,22285.8002843
2018-05-09 11:33:00,22276.2540223
2018-05-09 11:34:00,22276.2540223
2018-05-09 11:35:00,22266.7077603
2018-05-09 11:36:00,22266.7077603
2018-05-09 11:37:00,22257.1614983
2018-05-09 11:38:00,22257.1614983
2018-05-09 11:39:00,22257.1614983
2018-05-09 11:40:00,22257.1614983
2018-05-09 11:41:00,22266.7077603
2018-05-09 11:42:00,22266.7077603
2018-05-09 11:43:00,22276.2540223
2018-05-09 11:44:00,22276.2540223
2018-05-09 11:45:00,22285.8002843
2018-05-09 11:46:00,22285.8002843
2018-05-09 11:47:00,22285.8002843
2018-05-09 11:48:00,22295.3465463
2018-05-09 11:49:00,22285.8002843
2018-05-09 11:50:00,22285.8002843
2018-05-09 11:51:00,22285.8002843
2018-05-09 11:52:00,22285.8002843
2018-05-09 11:53:00,22285.8002843
2018-05-09 11:54:00,22285.8002843
2018-05-09 11:55:00,22285.8002843
2018-05-09 11:56:00,22285.8002843
2018-05-09 11:57:00,22276.2540223
2018-05-09 11:58:00,22276.2540223
2018-05-09 11:59:00,22285.8002843
2018-05-09 12:00:00,22285.8002843
2018-05-09 12:01:00,22295.3465463
2018-05-09 12:02:00,22295.3465463
2018-05-09 12:03:00,22295.3465463
2018-05-09 12:04:00,22295.3465463
2018-05-09 12:05:00,22285.8002843
2018-05-09 12:06:00,22285.8002843
2018-05-09 12:07:00,22285.8002843
2018-05-09 12:08:00,22285.8002843
2018-05-09 12:09:00,22285.8002843
