,BTS
2018-09-12 05:03:00,22735.9073478
2018-09-12 05:04:00,22735.9073478
2018-09-12 05:05:00,22729.6799478
2018-09-12 05:06:00,22735.9073478
2018-09-12 05:07:00,22735.9073478
2018-09-12 05:08:00,22742.1347478
2018-09-12 05:09:00,22742.1347478
2018-09-12 05:10:00,22742.1347478
2018-09-12 05:11:00,22742.1347478
2018-09-12 05:12:00,22742.1347478
2018-09-12 05:13:00,22742.1347478
2018-09-12 05:14:00,22748.3621478
2018-09-12 05:15:00,22748.3621478
2018-09-12 05:16:00,22742.1347478
2018-09-12 05:17:00,22742.1347478
2018-09-12 05:18:00,22735.9073478
2018-09-12 05:19:00,22742.1347478
2018-09-12 05:20:00,22779.4991478
2018-09-12 05:21:00,22816.8635478
2018-09-12 05:22:00,22798.1813478
2018-09-12 05:23:00,22801.2950478
2018-09-12 05:24:00,22798.1813478
2018-09-12 05:25:00,22798.1813478
2018-09-12 05:26:00,22795.0676478
2018-09-12 05:27:00,22795.0676478
2018-09-12 05:28:00,22795.0676478
2018-09-12 05:29:00,22798.1813478
2018-09-12 05:30:00,22795.0676478
2018-09-12 05:31:00,22798.1813478
2018-09-12 05:32:00,22798.1813478
2018-09-12 05:33:00,22795.0676478
2018-09-12 05:34:00,22798.1813478
2018-09-12 05:35:00,22798.1813478
2018-09-12 05:36:00,22798.1813478
2018-09-12 05:37:00,22804.4087478
2018-09-12 05:38:00,22795.0676478
2018-09-12 05:39:00,22798.1813478
2018-09-12 05:40:00,22795.0676478
2018-09-12 05:41:00,22798.1813478
2018-09-12 05:42:00,22798.1813478
2018-09-12 05:43:00,22798.1813478
2018-09-12 05:44:00,22804.4087478
2018-09-12 05:45:00,22804.4087478
2018-09-12 05:46:00,22798.1813478
2018-09-12 05:47:00,22801.2950478
2018-09-12 05:48:00,22798.1813478
2018-09-12 05:49:00,22804.4087478
2018-09-12 05:50:00,22804.4087478
2018-09-12 05:51:00,22804.4087478
