,RB11
2018-07-23 09:45:00,-2205468.72378
2018-07-23 09:46:00,-2205470.64528
2018-07-23 09:47:00,-2205467.18658
2018-07-23 09:48:00,-2205465.64938
2018-07-23 09:49:00,-2205462.19068
2018-07-23 09:50:00,-2205457.57908
2018-07-23 09:51:00,-2205453.73608
2018-07-23 09:52:00,-2205452.96748
2018-07-23 09:53:00,-2205450.27738
2018-07-23 09:54:00,-2205448.35588
2018-07-23 09:55:00,-2205448.74018
2018-07-23 09:56:00,-2205442.97568
2018-07-23 09:57:00,-2205436.82688
2018-07-23 09:58:00,-2205453.73608
2018-07-23 09:59:00,-2205451.43028
2018-07-23 10:00:00,-2205451.43028
2018-07-23 10:01:00,-2205450.66168
2018-07-23 10:02:00,-2205471.79818
2018-07-23 10:03:00,-2205468.33948
2018-07-23 10:04:00,-2205464.11218
2018-07-23 10:05:00,-2205474.10398
2018-07-23 10:06:00,-2205474.10398
2018-07-23 10:07:00,-2205473.33538
2018-07-23 10:08:00,-2205465.64938
2018-07-23 10:09:00,-2205479.09988
2018-07-23 10:10:00,-2205456.42618
2018-07-23 10:11:00,-2205447.58728
2018-07-23 10:12:00,-2205446.81868
2018-07-23 10:13:00,-2205435.28968
2018-07-23 10:14:00,-2205424.52928
2018-07-23 10:15:00,-2205423.37638
2018-07-23 10:16:00,-2205419.53338
2018-07-23 10:17:00,-2205430.29378
2018-07-23 10:18:00,-2205429.90948
2018-07-23 10:19:00,-2205426.45078
2018-07-23 10:20:00,-2205428.75658
2018-07-23 10:21:00,-2205424.52928
2018-07-23 10:22:00,-2205424.52928
2018-07-23 10:23:00,-2205424.91358
2018-07-23 10:24:00,-2205421.07058
2018-07-23 10:25:00,-2205413.00028
2018-07-23 10:26:00,-2205402.62418
2018-07-23 10:27:00,-2205398.01258
2018-07-23 10:28:00,-2205386.86788
2018-07-23 10:29:00,-2205385.33068
2018-07-23 10:30:00,-2205381.87198
2018-07-23 10:31:00,-2205379.56618
2018-07-23 10:32:00,-2205386.48358
2018-07-23 10:33:00,-2205386.48358
2018-07-23 10:34:00,-2205396.85968
2018-07-23 10:35:00,-2205390.32658
2018-07-23 10:36:00,-2205393.40098
2018-07-23 10:37:00,-2205391.86378
2018-07-23 10:38:00,-2205399.93408
2018-07-23 10:39:00,-2205399.16548
2018-07-23 10:40:00,-2205397.62828
2018-07-23 10:41:00,-2205406.85148
2018-07-23 10:42:00,-2205399.16548
2018-07-23 10:43:00,-2205397.62828
2018-07-23 10:44:00,-2205397.24398
2018-07-23 10:45:00,-2205385.33068
2018-07-23 10:46:00,-2205395.70678
2018-07-23 10:47:00,-2205393.40098
2018-07-23 10:48:00,-2205388.40508
2018-07-23 10:49:00,-2205399.16548
2018-07-23 10:50:00,-2205390.71088
2018-07-23 10:51:00,-2205386.48358
2018-07-23 10:52:00,-2205386.48358
2018-07-23 10:53:00,-2205401.85558
2018-07-23 10:54:00,-2205407.62008
2018-07-23 10:55:00,-2205408.77298
2018-07-23 10:56:00,-2205400.70268
2018-07-23 10:57:00,-2205400.70268
2018-07-23 10:58:00,-2205410.31018
2018-07-23 10:59:00,-2205422.60778
2018-07-23 11:00:00,-2205429.90948
2018-07-23 11:01:00,-2205430.29378
2018-07-23 11:02:00,-2205424.91358
2018-07-23 11:03:00,-2205437.59548
2018-07-23 11:04:00,-2205444.51288
2018-07-23 11:05:00,-2205471.02958
2018-07-23 11:06:00,-2205479.09988
2018-07-23 11:07:00,-2205480.25278
2018-07-23 11:08:00,-2205482.55858
2018-07-23 11:09:00,-2205493.70328
2018-07-23 11:10:00,-2205507.53808
2018-07-23 11:11:00,-2205507.53808
2018-07-23 11:12:00,-2205501.38928
2018-07-23 11:13:00,-2205501.00498
2018-07-23 11:14:00,-2205516.76128
2018-07-23 11:15:00,-2205538.28208
2018-07-23 11:16:00,-2205522.14148
2018-07-23 11:17:00,-2205519.45138
2018-07-23 11:18:00,-2205506.38518
2018-07-23 11:19:00,-2205509.45958
2018-07-23 11:20:00,-2205523.29438
2018-07-23 11:21:00,-2205503.31078
