,CGB
2018-07-16 11:04:00,15836.5580184
2018-07-16 11:05:00,15831.3658524
2018-07-16 11:06:00,15831.3658524
2018-07-16 11:07:00,15836.5580184
2018-07-16 11:08:00,15846.9423504
2018-07-16 11:09:00,15841.7501844
2018-07-16 11:10:00,15839.1541014
2018-07-16 11:11:00,15836.5580184
2018-07-16 11:12:00,15831.3658524
2018-07-16 11:13:00,15831.3658524
2018-07-16 11:14:00,15833.9619354
2018-07-16 11:15:00,15841.7501844
2018-07-16 11:16:00,15836.5580184
2018-07-16 11:17:00,15841.7501844
2018-07-16 11:18:00,15841.7501844
2018-07-16 11:19:00,15841.7501844
2018-07-16 11:20:00,15836.5580184
2018-07-16 11:21:00,15836.5580184
2018-07-16 11:22:00,15836.5580184
2018-07-16 11:23:00,15836.5580184
2018-07-16 11:24:00,15836.5580184
2018-07-16 11:25:00,15836.5580184
2018-07-16 11:26:00,15831.3658524
2018-07-16 11:27:00,15836.5580184
2018-07-16 11:28:00,15833.9619354
2018-07-16 11:29:00,15833.9619354
2018-07-16 11:30:00,15836.5580184
2018-07-16 11:31:00,15836.5580184
2018-07-16 11:32:00,15836.5580184
2018-07-16 11:33:00,15852.1345164
2018-07-16 11:34:00,15852.1345164
2018-07-16 11:35:00,15852.1345164
2018-07-16 11:36:00,15852.1345164
2018-07-16 11:37:00,15852.1345164
2018-07-16 11:38:00,15844.3462674
2018-07-16 11:39:00,15841.7501844
2018-07-16 11:40:00,15836.5580184
2018-07-16 11:41:00,15841.7501844
2018-07-16 11:42:00,15841.7501844
2018-07-16 11:43:00,15836.5580184
2018-07-16 11:44:00,15836.5580184
2018-07-16 11:45:00,15836.5580184
2018-07-16 11:46:00,15846.9423504
2018-07-16 11:47:00,15854.7305994
2018-07-16 11:48:00,15857.3266824
2018-07-16 11:49:00,15857.3266824
2018-07-16 11:50:00,15857.3266824
2018-07-16 11:51:00,15857.3266824
2018-07-16 11:52:00,15862.5188484
2018-07-16 11:53:00,15862.5188484
2018-07-16 11:54:00,15862.5188484
2018-07-16 11:55:00,15857.3266824
2018-07-16 11:56:00,15862.5188484
2018-07-16 11:57:00,15867.7110144
2018-07-16 11:58:00,15867.7110144
2018-07-16 11:59:00,15867.7110144
2018-07-16 12:00:00,15857.3266824
2018-07-16 12:01:00,15852.1345164
2018-07-16 12:02:00,15852.1345164
2018-07-16 12:03:00,15857.3266824
2018-07-16 12:04:00,15857.3266824
2018-07-16 12:05:00,15852.1345164
2018-07-16 12:06:00,15852.1345164
2018-07-16 12:07:00,15867.7110144
2018-07-16 12:08:00,15867.7110144
2018-07-16 12:09:00,15867.7110144
2018-07-16 12:10:00,15862.5188484
2018-07-16 12:11:00,15872.9031804
2018-07-16 12:12:00,15872.9031804
2018-07-16 12:13:00,15872.9031804
2018-07-16 12:14:00,15878.0953464
2018-07-16 12:15:00,15878.0953464
2018-07-16 12:16:00,15878.0953464
2018-07-16 12:17:00,15872.9031804
2018-07-16 12:18:00,15872.9031804
2018-07-16 12:19:00,15872.9031804
2018-07-16 12:20:00,15872.9031804
2018-07-16 12:21:00,15878.0953464
2018-07-16 12:22:00,15878.0953464
2018-07-16 12:23:00,15888.4796784
2018-07-16 12:24:00,15888.4796784
2018-07-16 12:25:00,15883.2875124
2018-07-16 12:26:00,15883.2875124
2018-07-16 12:27:00,15888.4796784
2018-07-16 12:28:00,15883.2875124
2018-07-16 12:29:00,15883.2875124
2018-07-16 12:30:00,15888.4796784
2018-07-16 12:31:00,15888.4796784
2018-07-16 12:32:00,15888.4796784
2018-07-16 12:33:00,15893.6718444
2018-07-16 12:34:00,15893.6718444
2018-07-16 12:35:00,15891.0757614
2018-07-16 12:36:00,15893.6718444
2018-07-16 12:37:00,15888.4796784
2018-07-16 12:38:00,15883.2875124
2018-07-16 12:39:00,15883.2875124
2018-07-16 12:40:00,15883.2875124
2018-07-16 12:41:00,15870.3070974
2018-07-16 12:42:00,15872.9031804
2018-07-16 12:43:00,15878.0953464
2018-07-16 12:44:00,15872.9031804
2018-07-16 12:45:00,15878.0953464
2018-07-16 12:46:00,15883.2875124
2018-07-16 12:47:00,15883.2875124
2018-07-16 12:48:00,15883.2875124
2018-07-16 12:49:00,15883.2875124
2018-07-16 12:50:00,15883.2875124
2018-07-16 12:51:00,15888.4796784
2018-07-16 12:52:00,15898.8640104
2018-07-16 12:53:00,15896.2679274
2018-07-16 12:54:00,15904.0561764
2018-07-16 12:55:00,15898.8640104
2018-07-16 12:56:00,15898.8640104
2018-07-16 12:57:00,15906.6522594
2018-07-16 12:58:00,15909.2483424
2018-07-16 12:59:00,15896.2679274
2018-07-16 13:00:00,15898.8640104
2018-07-16 13:01:00,15893.6718444
2018-07-16 13:02:00,15898.8640104
2018-07-16 13:03:00,15888.4796784
2018-07-16 13:04:00,15888.4796784
2018-07-16 13:05:00,15888.4796784
2018-07-16 13:06:00,15888.4796784
2018-07-16 13:07:00,15888.4796784
2018-07-16 13:08:00,15888.4796784
2018-07-16 13:09:00,15883.2875124
2018-07-16 13:10:00,15883.2875124
2018-07-16 13:11:00,15888.4796784
2018-07-16 13:12:00,15888.4796784
2018-07-16 13:13:00,15893.6718444
2018-07-16 13:14:00,15893.6718444
2018-07-16 13:15:00,15893.6718444
2018-07-16 13:16:00,15893.6718444
2018-07-16 13:17:00,15893.6718444
2018-07-16 13:18:00,15891.0757614
2018-07-16 13:19:00,15893.6718444
2018-07-16 13:20:00,15893.6718444
2018-07-16 13:21:00,15896.2679274
2018-07-16 13:22:00,15883.2875124
2018-07-16 13:23:00,15888.4796784
2018-07-16 13:24:00,15898.8640104
2018-07-16 13:25:00,15898.8640104
2018-07-16 13:26:00,15893.6718444
2018-07-16 13:27:00,15898.8640104
2018-07-16 13:28:00,15898.8640104
2018-07-16 13:29:00,15888.4796784
2018-07-16 13:30:00,15888.4796784
2018-07-16 13:31:00,15888.4796784
2018-07-16 13:32:00,15888.4796784
2018-07-16 13:33:00,15883.2875124
2018-07-16 13:34:00,15888.4796784
2018-07-16 13:35:00,15888.4796784
2018-07-16 13:36:00,15888.4796784
2018-07-16 13:37:00,15893.6718444
2018-07-16 13:38:00,15893.6718444
2018-07-16 13:39:00,15888.4796784
2018-07-16 13:40:00,15893.6718444
2018-07-16 13:41:00,15898.8640104
2018-07-16 13:42:00,15898.8640104
